"# Table 7. Coarsening at 2 at.%, 36000 sweeps, two starting",configurations. Both converge on a single domain.
start,cycle,n_clusters,largest,largest_fraction,E_per_site_eV,alpha_In_Cu
random,0,359,27,0.0211,0.028603,-5.65
random,200,8,517,0.4039,0.001172,-20.28
random,400,7,540,0.4219,-0.001455,-22.45
random,600,6,598,0.4672,-0.002376,-23.25
random,800,5,619,0.4836,-0.002975,-23.72
random,1000,5,638,0.4984,-0.003238,-23.97
random,1200,5,651,0.5086,-0.003449,-24.09
random,1400,5,666,0.5203,-0.003645,-24.23
random,1600,7,1088,0.8500,-0.004022,-24.45
random,1800,5,1155,0.9023,-0.004837,-25.15
random,2000,3,1196,0.9344,-0.005267,-25.50
random,2200,3,1200,0.9375,-0.005447,-25.58
random,2400,3,1203,0.9398,-0.005533,-25.68
random,2600,3,1227,0.9586,-0.005667,-25.82
random,2800,2,1233,0.9633,-0.005909,-25.89
random,3000,2,1236,0.9656,-0.006024,-26.04
random,3200,2,1242,0.9703,-0.006152,-26.15
random,3400,2,1243,0.9711,-0.006228,-26.13
random,3600,2,1243,0.9711,-0.006222,-26.10
random,3800,2,1247,0.9742,-0.006310,-26.21
random,4000,2,1251,0.9773,-0.006299,-26.17
random,4200,2,1258,0.9828,-0.006330,-26.21
random,4400,2,1272,0.9938,-0.006464,-26.27
random,4600,1,1280,1.0000,-0.006609,-26.36
random,4800,1,1280,1.0000,-0.006606,-26.35
random,5000,1,1280,1.0000,-0.006592,-26.29
random,5200,1,1280,1.0000,-0.006628,-26.36
random,5400,1,1280,1.0000,-0.006640,-26.41
random,5600,1,1280,1.0000,-0.006645,-26.43
random,5800,1,1280,1.0000,-0.006642,-26.42
random,6000,1,1280,1.0000,-0.006637,-26.40
random,6200,1,1280,1.0000,-0.006640,-26.41
random,6400,1,1280,1.0000,-0.006643,-26.42
random,6600,1,1280,1.0000,-0.006645,-26.43
random,6800,1,1280,1.0000,-0.006628,-26.36
random,7000,1,1280,1.0000,-0.006642,-26.42
random,7200,1,1280,1.0000,-0.006651,-26.45
random,7400,3,1143,0.8930,-0.006896,-26.81
random,7600,3,1152,0.9000,-0.007036,-26.88
random,7800,3,1167,0.9117,-0.007189,-27.01
random,8000,2,1177,0.9195,-0.007356,-27.12
random,8200,2,1182,0.9234,-0.007387,-27.16
random,8400,2,1198,0.9359,-0.007440,-27.22
random,8600,2,1211,0.9461,-0.007537,-27.28
random,8800,2,1214,0.9484,-0.007618,-27.28
random,9000,2,1214,0.9484,-0.007628,-27.32
random,9200,2,1225,0.9570,-0.007626,-27.31
random,9400,2,1229,0.9602,-0.007705,-27.31
random,9600,2,1232,0.9625,-0.007815,-27.42
random,9800,2,1233,0.9633,-0.007879,-27.44
random,10000,2,1236,0.9656,-0.007924,-27.46
random,10200,2,1242,0.9703,-0.007958,-27.52
random,10400,2,1253,0.9789,-0.008027,-27.55
random,10600,2,1262,0.9859,-0.008169,-27.63
random,10800,3,1278,0.9984,-0.008386,-27.78
random,11000,1,1280,1.0000,-0.008640,-27.91
random,11200,1,1280,1.0000,-0.008687,-27.93
random,11400,1,1280,1.0000,-0.008776,-27.96
random,11600,1,1280,1.0000,-0.008779,-27.98
random,11800,1,1280,1.0000,-0.008837,-27.96
random,12000,1,1280,1.0000,-0.008929,-28.01
random,12200,1,1280,1.0000,-0.008971,-28.02
random,12400,1,1280,1.0000,-0.008968,-28.00
random,12600,1,1280,1.0000,-0.008965,-27.99
random,12800,1,1280,1.0000,-0.009034,-28.02
random,13000,1,1280,1.0000,-0.009059,-28.04
random,13200,1,1280,1.0000,-0.009057,-28.04
random,13400,1,1280,1.0000,-0.009057,-28.04
random,13600,1,1280,1.0000,-0.009076,-28.03
random,13800,1,1280,1.0000,-0.009077,-28.04
random,14000,1,1280,1.0000,-0.009077,-28.04
random,14200,1,1280,1.0000,-0.009077,-28.04
random,14400,1,1280,1.0000,-0.009079,-28.04
random,14600,1,1280,1.0000,-0.009099,-28.04
random,14800,1,1280,1.0000,-0.008950,-27.84
random,15000,1,1280,1.0000,-0.009118,-28.04
random,15200,1,1280,1.0000,-0.009118,-28.04
random,15400,1,1280,1.0000,-0.009065,-27.90
random,15600,1,1280,1.0000,-0.009109,-27.91
random,15800,1,1280,1.0000,-0.009118,-28.04
random,16000,1,1280,1.0000,-0.009107,-27.91
random,16200,1,1280,1.0000,-0.009118,-28.04
random,16400,1,1280,1.0000,-0.009118,-28.04
random,16600,1,1280,1.0000,-0.009106,-27.90
random,16800,1,1280,1.0000,-0.009119,-28.04
random,17000,1,1280,1.0000,-0.009121,-28.05
random,17200,1,1280,1.0000,-0.009107,-27.91
random,17400,1,1280,1.0000,-0.009107,-27.91
random,17600,1,1280,1.0000,-0.009107,-27.91
random,17800,1,1280,1.0000,-0.009121,-28.05
random,18000,1,1280,1.0000,-0.009109,-27.91
random,18200,1,1280,1.0000,-0.009121,-28.05
random,18400,1,1280,1.0000,-0.009123,-28.06
random,18600,1,1280,1.0000,-0.009121,-28.05
random,18800,1,1280,1.0000,-0.009123,-28.06
random,19000,1,1280,1.0000,-0.009107,-27.91
random,19200,1,1280,1.0000,-0.009121,-28.05
random,19400,1,1280,1.0000,-0.009107,-27.91
random,19600,1,1280,1.0000,-0.009119,-28.04
random,19800,1,1280,1.0000,-0.009110,-27.92
random,20000,1,1280,1.0000,-0.009119,-28.04
